cod_rock Litologia prof dens gama res vel
7.00e+00 marga1 5.54e+00 2.87e+00 8.73e+01 4.24e+00 7.09e+01
7.00e+00 marga1 5.61e+00 2.71e+00 7.39e+01 5.33e+00 4.06e+01
7.00e+00 marga1 5.68e+00 2.75e+00 8.32e+01 4.08e+00 4.15e+01
7.00e+00 marga1 5.75e+00 2.78e+00 8.97e+01 4.97e+00 8.27e+01
7.00e+00 marga1 5.82e+00 2.69e+00 8.35e+01 2.55e+00 5.39e+01
7.00e+00 marga1 5.90e+00 2.73e+00 7.61e+01 6.69e+00 8.85e+01
7.00e+00 marga1 5.97e+00 2.80e+00 7.31e+01 -1.79e+00 4.65e+01
7.00e+00 marga1 6.04e+00 2.84e+00 8.78e+01 4.14e+00 5.32e+01
7.00e+00 marga1 6.11e+00 2.70e+00 7.77e+01 4.96e+00 6.63e+01
7.00e+00 marga1 6.18e+00 2.56e+00 8.40e+01 6.75e+00 6.32e+01
7.00e+00 marga1 6.25e+00 2.56e+00 8.32e+01 6.62e+00 1.12e+02
7.00e+00 marga1 6.32e+00 2.68e+00 7.13e+01 -1.15e+00 7.73e+01
7.00e+00 marga1 6.39e+00 2.79e+00 8.56e+01 -2.46e-01 6.17e+01
7.00e+00 marga1 6.46e+00 2.80e+00 9.04e+01 7.59e-01 3.16e+01
7.00e+00 marga1 6.53e+00 2.72e+00 7.66e+01 4.82e+00 9.66e+01
7.00e+00 marga1 6.61e+00 2.85e+00 7.41e+01 9.18e+00 7.04e+01
7.00e+00 marga1 6.68e+00 2.81e+00 7.79e+01 2.85e+00 5.16e+01
7.00e+00 marga1 6.75e+00 2.87e+00 7.28e+01 5.09e+00 5.12e+01
7.00e+00 marga1 6.82e+00 2.74e+00 7.67e+01 4.08e+00 6.25e+01
7.00e+00 marga1 6.89e+00 2.67e+00 7.98e+01 6.63e+00 8.78e+01
7.00e+00 marga1 6.96e+00 2.92e+00 8.42e+01 6.23e+00 7.01e+01
7.00e+00 marga1 7.03e+00 2.59e+00 7.34e+01 5.62e+00 6.45e+01
7.00e+00 marga1 7.10e+00 2.77e+00 8.76e+01 3.15e+00 6.52e+01
7.00e+00 marga1 7.17e+00 2.84e+00 7.07e+01 3.18e+00 9.56e+01
7.00e+00 marga1 7.25e+00 2.71e+00 8.01e+01 1.45e+00 8.10e+01
7.00e+00 marga1 7.32e+00 2.71e+00 7.75e+01 1.31e+00 3.39e+01
7.00e+00 marga1 7.39e+00 2.62e+00 8.35e+01 1.57e+00 7.84e+01
7.00e+00 marga1 7.46e+00 2.68e+00 7.74e+01 1.68e+00 8.86e+01
7.00e+00 marga1 7.53e+00 2.69e+00 8.16e+01 3.60e+00 8.76e+01
7.00e+00 marga1 7.60e+00 2.80e+00 6.86e+01 5.29e+00 4.27e+01
7.00e+00 marga1 7.67e+00 2.64e+00 8.42e+01 4.81e+00 6.59e+01
7.00e+00 marga1 7.74e+00 2.81e+00 8.76e+01 5.75e+00 7.52e+01
7.00e+00 marga1 7.81e+00 2.77e+00 7.45e+01 8.90e-01 5.37e+01
7.00e+00 marga1 7.89e+00 2.81e+00 8.29e+01 4.06e+00 6.23e+01
7.00e+00 marga1 7.96e+00 2.63e+00 8.63e+01 -2.87e-01 2.94e+01
7.00e+00 marga1 8.03e+00 2.73e+00 8.09e+01 6.82e+00 6.76e+01
7.00e+00 marga1 8.10e+00 2.64e+00 7.70e+01 1.89e+00 4.55e+01
7.00e+00 marga1 8.17e+00 2.67e+00 8.41e+01 2.23e+00 5.13e+01
7.00e+00 marga1 8.24e+00 2.92e+00 8.25e+01 3.09e+00 6.59e+01
7.00e+00 marga1 8.31e+00 2.70e+00 8.34e+01 7.42e+00 6.39e+01
7.00e+00 marga1 8.38e+00 2.71e+00 6.58e+01 4.37e+00 8.99e+01
7.00e+00 marga1 8.45e+00 2.68e+00 7.62e+01 2.97e+00 9.52e+01
7.00e+00 marga1 8.53e+00 2.76e+00 8.24e+01 3.13e+00 4.78e+01
7.00e+00 marga1 8.60e+00 2.86e+00 6.30e+01 4.64e+00 5.35e+01
7.00e+00 marga1 8.67e+00 2.75e+00 7.53e+01 3.37e+00 6.56e+01
7.00e+00 marga1 8.74e+00 2.85e+00 7.57e+01 2.64e+00 6.94e+01
7.00e+00 marga1 8.81e+00 2.76e+00 7.84e+01 9.51e+00 6.64e+01
7.00e+00 marga1 8.88e+00 2.91e+00 7.79e+01 8.91e+00 8.83e+01
7.00e+00 marga1 8.95e+00 2.83e+00 7.64e+01 3.51e+00 5.79e+01
7.00e+00 marga1 9.02e+00 2.77e+00 7.69e+01 3.03e+00 6.35e+01
7.00e+00 marga1 9.09e+00 2.70e+00 8.58e+01 5.60e+00 5.93e+01
7.00e+00 marga1 9.17e+00 2.63e+00 7.82e+01 8.55e+00 7.07e+01
7.00e+00 marga1 9.24e+00 2.84e+00 7.11e+01 2.61e+00 7.29e+01
7.00e+00 marga1 9.31e+00 2.68e+00 7.69e+01 4.58e+00 7.05e+01
7.00e+00 marga1 9.38e+00 2.66e+00 8.57e+01 4.05e+00 8.68e+01
7.00e+00 marga1 9.45e+00 2.91e+00 8.03e+01 2.88e+00 4.98e+01
7.00e+00 marga1 9.52e+00 2.79e+00 7.62e+01 4.60e+00 7.55e+01
7.00e+00 marga1 9.59e+00 2.74e+00 7.86e+01 5.23e+00 6.31e+01
7.00e+00 marga1 9.66e+00 2.78e+00 7.84e+01 2.71e+00 5.45e+01
7.00e+00 marga1 9.73e+00 2.69e+00 7.94e+01 2.44e+00 6.76e+01
7.00e+00 marga1 9.80e+00 2.62e+00 9.21e+01 -9.35e-01 7.44e+01
7.00e+00 marga1 9.88e+00 2.66e+00 8.53e+01 6.11e+00 8.64e+01
7.00e+00 marga1 9.95e+00 2.82e+00 7.70e+01 3.03e+00 5.55e+01
7.00e+00 marga1 1.00e+01 2.70e+00 8.01e+01 2.57e-01 8.21e+01
7.00e+00 marga1 1.01e+01 2.64e+00 8.21e+01 7.67e+00 7.86e+01
7.00e+00 marga1 1.02e+01 2.78e+00 6.98e+01 5.86e+00 8.09e+01
7.00e+00 marga1 1.02e+01 2.56e+00 8.62e+01 5.90e-01 6.41e+01
7.00e+00 marga1 1.03e+01 2.76e+00 7.98e+01 7.57e-01 7.69e+01
7.00e+00 marga1 1.04e+01 2.67e+00 7.61e+01 2.92e+00 6.11e+01
7.00e+00 marga1 1.04e+01 2.66e+00 8.62e+01 4.85e+00 7.87e+01
7.00e+00 marga1 1.05e+01 2.64e+00 8.56e+01 6.63e+00 9.63e+01
7.00e+00 marga1 1.06e+01 2.70e+00 8.86e+01 4.21e+00 7.53e+01
7.00e+00 marga1 1.07e+01 2.61e+00 7.75e+01 3.18e+00 5.73e+01
7.00e+00 marga1 1.07e+01 2.88e+00 7.91e+01 5.47e+00 8.76e+01
7.00e+00 marga1 1.08e+01 2.59e+00 7.81e+01 3.07e-01 9.36e+01
7.00e+00 marga1 1.09e+01 2.54e+00 9.00e+01 4.07e+00 7.10e+01
7.00e+00 marga1 1.09e+01 2.95e+00 7.55e+01 3.28e+00 4.69e+01
7.00e+00 marga1 1.10e+01 2.59e+00 7.86e+01 3.30e-01 5.62e+01
7.00e+00 marga1 1.11e+01 2.74e+00 8.62e+01 4.55e+00 7.68e+01
7.00e+00 marga1 1.12e+01 2.76e+00 8.50e+01 4.04e+00 7.99e+01
7.00e+00 marga1 1.12e+01 2.87e+00 6.86e+01 3.15e+00 6.02e+01
7.00e+00 marga1 1.13e+01 2.66e+00 7.82e+01 6.22e+00 3.29e+01
7.00e+00 marga1 1.14e+01 2.76e+00 8.47e+01 9.80e-01 9.27e+01
7.00e+00 marga1 1.14e+01 2.57e+00 7.39e+01 6.86e-01 8.71e+01
1.00e+00 folhelho2 1.15e+01 2.76e+00 8.34e+01 -2.32e+00 6.18e+01
1.00e+00 folhelho2 1.16e+01 2.71e+00 7.90e+01 3.03e+00 9.85e+01
1.00e+00 folhelho2 1.17e+01 2.67e+00 7.04e+01 9.77e-01 7.48e+01
1.00e+00 folhelho2 1.17e+01 2.57e+00 7.74e+01 1.20e+00 8.82e+01
1.00e+00 folhelho2 1.18e+01 2.36e+00 8.23e+01 2.02e+00 1.08e+02
1.00e+00 folhelho2 1.19e+01 2.44e+00 8.26e+01 1.46e+00 1.20e+02
1.00e+00 folhelho2 1.19e+01 2.52e+00 6.84e+01 1.71e+00 1.49e+02
1.00e+00 folhelho2 1.20e+01 2.34e+00 7.84e+01 1.41e+00 1.29e+02
1.00e+00 folhelho2 1.21e+01 2.32e+00 7.76e+01 4.83e+00 1.50e+02
1.00e+00 folhelho2 1.22e+01 2.24e+00 6.98e+01 1.35e+00 1.79e+02
1.00e+00 folhelho2 1.22e+01 2.31e+00 7.30e+01 4.58e-01 1.74e+02
1.00e+00 folhelho2 1.23e+01 2.24e+00 7.27e+01 4.72e+00 1.67e+02
1.00e+00 folhelho2 1.24e+01 2.34e+00 7.46e+01 4.08e+00 1.72e+02
1.00e+00 folhelho2 1.24e+01 2.32e+00 6.28e+01 1.63e+00 1.86e+02
1.00e+00 folhelho2 1.25e+01 2.38e+00 8.06e+01 -6.88e-01 1.70e+02
1.00e+00 folhelho2 1.26e+01 2.13e+00 7.27e+01 -3.79e-01 1.72e+02
1.00e+00 folhelho2 1.26e+01 2.24e+00 7.23e+01 1.02e+00 1.76e+02
1.00e+00 folhelho2 1.27e+01 2.18e+00 6.74e+01 4.62e+00 1.72e+02
1.00e+00 folhelho2 1.28e+01 2.13e+00 6.65e+01 5.93e+00 1.78e+02
1.00e+00 folhelho2 1.29e+01 2.43e+00 6.57e+01 2.77e+00 1.44e+02
1.00e+00 folhelho2 1.29e+01 2.22e+00 7.51e+01 2.67e+00 1.70e+02
1.00e+00 folhelho2 1.30e+01 2.21e+00 7.86e+01 5.73e-01 1.78e+02
1.00e+00 folhelho2 1.31e+01 2.26e+00 7.85e+01 1.72e+00 1.82e+02
1.00e+00 folhelho2 1.31e+01 2.04e+00 8.45e+01 5.20e+00 1.75e+02
1.00e+00 folhelho2 1.32e+01 2.40e+00 8.03e+01 1.62e+00 1.75e+02
1.00e+00 folhelho2 1.33e+01 2.42e+00 8.57e+01 5.71e+00 1.66e+02
1.00e+00 folhelho2 1.34e+01 2.27e+00 7.90e+01 1.97e+00 1.61e+02
1.00e+00 folhelho2 1.34e+01 2.29e+00 8.38e+01 3.75e+00 1.65e+02
1.00e+00 folhelho2 1.35e+01 2.28e+00 7.36e+01 4.36e+00 1.71e+02
1.00e+00 folhelho2 1.36e+01 2.37e+00 6.96e+01 -2.10e+00 1.82e+02
1.00e+00 folhelho2 1.36e+01 2.06e+00 8.30e+01 4.87e+00 1.68e+02
1.00e+00 folhelho2 1.37e+01 2.10e+00 7.48e+01 3.56e+00 1.69e+02
1.00e+00 folhelho2 1.38e+01 2.13e+00 7.65e+01 3.06e+00 1.38e+02
1.00e+00 folhelho2 1.39e+01 2.28e+00 6.66e+01 9.87e+00 1.61e+02
1.00e+00 folhelho2 1.39e+01 2.33e+00 9.01e+01 2.99e+00 1.68e+02
1.00e+00 folhelho2 1.40e+01 2.29e+00 8.23e+01 -9.47e-01 1.69e+02
1.00e+00 folhelho2 1.41e+01 2.23e+00 8.15e+01 5.78e+00 2.03e+02
1.00e+00 folhelho2 1.41e+01 2.45e+00 6.88e+01 3.72e+00 1.71e+02
1.00e+00 folhelho2 1.42e+01 2.27e+00 6.91e+01 2.33e+00 1.56e+02
1.00e+00 folhelho2 1.43e+01 2.26e+00 6.96e+01 2.28e+00 1.71e+02
1.00e+00 folhelho2 1.44e+01 2.18e+00 8.16e+01 2.68e+00 1.75e+02
1.00e+00 folhelho2 1.44e+01 2.50e+00 7.64e+01 1.43e+00 1.50e+02
1.00e+00 folhelho2 1.45e+01 2.13e+00 6.56e+01 2.31e+00 1.88e+02
1.00e+00 folhelho2 1.46e+01 2.26e+00 6.79e+01 5.59e-01 1.66e+02
1.00e+00 folhelho2 1.46e+01 2.15e+00 7.96e+01 2.81e+00 1.72e+02
1.00e+00 folhelho2 1.47e+01 2.29e+00 8.14e+01 -4.95e-01 1.67e+02
1.00e+00 folhelho2 1.48e+01 2.09e+00 7.24e+01 6.87e-01 1.63e+02
1.00e+00 folhelho2 1.49e+01 2.17e+00 8.45e+01 -2.46e+00 1.69e+02
1.00e+00 folhelho2 1.49e+01 2.25e+00 6.94e+01 3.21e+00 1.90e+02
1.00e+00 folhelho2 1.50e+01 2.23e+00 6.80e+01 2.89e+00 1.84e+02
1.00e+00 folhelho2 1.51e+01 2.12e+00 7.68e+01 1.21e+00 1.84e+02
1.00e+00 folhelho2 1.51e+01 2.24e+00 7.50e+01 2.19e+00 1.68e+02
1.00e+00 folhelho2 1.52e+01 2.20e+00 7.57e+01 1.93e-01 1.74e+02
1.00e+00 folhelho2 1.53e+01 2.21e+00 7.24e+01 2.51e+00 1.95e+02
1.00e+00 folhelho2 1.53e+01 2.22e+00 7.91e+01 4.65e+00 1.67e+02
1.00e+00 folhelho2 1.54e+01 2.28e+00 7.58e+01 2.01e+00 1.71e+02
1.00e+00 folhelho2 1.55e+01 2.23e+00 6.89e+01 3.85e+00 1.70e+02
1.00e+00 folhelho2 1.56e+01 2.19e+00 6.01e+01 2.29e+00 1.64e+02
1.00e+00 folhelho2 1.56e+01 2.21e+00 6.38e+01 -1.57e+00 1.82e+02
1.00e+00 folhelho2 1.57e+01 2.11e+00 6.95e+01 -6.92e-01 1.61e+02
1.00e+00 folhelho2 1.58e+01 2.35e+00 7.71e+01 6.02e+00 1.44e+02
1.00e+00 folhelho2 1.58e+01 2.28e+00 7.21e+01 1.61e+00 1.61e+02
1.00e+00 folhelho2 1.59e+01 2.22e+00 6.92e+01 3.36e+00 1.75e+02
1.00e+00 folhelho2 1.60e+01 2.22e+00 7.89e+01 6.13e+00 1.47e+02
1.00e+00 folhelho2 1.61e+01 2.29e+00 6.95e+01 -1.11e+00 1.92e+02
1.00e+00 folhelho2 1.61e+01 2.43e+00 8.16e+01 4.07e+00 1.85e+02
1.00e+00 folhelho2 1.62e+01 2.14e+00 7.40e+01 5.23e+00 1.59e+02
1.00e+00 folhelho2 1.63e+01 2.16e+00 6.85e+01 3.76e+00 1.79e+02
1.00e+00 folhelho2 1.63e+01 2.07e+00 7.45e+01 1.35e-01 1.66e+02
1.00e+00 folhelho2 1.64e+01 2.13e+00 8.19e+01 3.53e+00 1.58e+02
1.00e+00 folhelho2 1.65e+01 2.31e+00 6.84e+01 5.89e+00 1.61e+02
1.00e+00 folhelho2 1.66e+01 2.32e+00 9.36e+01 1.43e+00 1.77e+02
1.00e+00 folhelho2 1.66e+01 2.12e+00 6.60e+01 4.35e+00 1.63e+02
1.00e+00 folhelho2 1.67e+01 2.26e+00 6.94e+01 2.32e+00 1.72e+02
1.00e+00 folhelho2 1.68e+01 2.39e+00 6.40e+01 3.38e+00 1.90e+02
1.00e+00 folhelho2 1.68e+01 2.02e+00 7.45e+01 2.83e+00 1.70e+02
1.00e+00 folhelho2 1.69e+01 2.12e+00 7.21e+01 6.26e-01 1.67e+02
1.00e+00 folhelho2 1.70e+01 2.29e+00 7.18e+01 3.24e+00 1.84e+02
1.00e+00 folhelho2 1.71e+01 2.21e+00 6.83e+01 -1.17e-01 1.64e+02
1.00e+00 folhelho2 1.71e+01 2.24e+00 7.26e+01 4.07e+00 1.51e+02
1.00e+00 folhelho2 1.72e+01 2.32e+00 8.42e+01 3.63e+00 1.76e+02
1.00e+00 folhelho2 1.73e+01 2.30e+00 7.60e+01 -1.38e+00 1.69e+02
1.00e+00 folhelho2 1.73e+01 2.59e+00 7.29e+01 1.24e+00 1.67e+02
1.00e+00 folhelho2 1.74e+01 2.18e+00 7.99e+01 1.69e-01 1.68e+02
1.00e+00 folhelho2 1.75e+01 2.44e+00 6.13e+01 8.97e-01 1.82e+02
1.00e+00 folhelho2 1.76e+01 2.24e+00 7.80e+01 1.94e-01 1.77e+02
1.00e+00 folhelho2 1.76e+01 2.25e+00 7.66e+01 2.79e+00 1.65e+02
1.00e+00 folhelho2 1.77e+01 2.35e+00 7.45e+01 2.99e+00 1.38e+02
1.00e+00 folhelho2 1.78e+01 2.14e+00 7.00e+01 -3.82e-01 1.89e+02
1.00e+00 folhelho2 1.78e+01 2.08e+00 7.25e+01 3.51e+00 1.66e+02
1.00e+00 folhelho2 1.79e+01 2.28e+00 6.94e+01 4.36e+00 1.56e+02
1.00e+00 folhelho2 1.80e+01 2.34e+00 7.37e+01 3.89e+00 1.85e+02
1.00e+00 folhelho2 1.81e+01 2.28e+00 7.34e+01 4.90e+00 1.82e+02
1.00e+00 folhelho2 1.81e+01 2.13e+00 7.74e+01 -3.49e-01 1.46e+02
1.00e+00 folhelho2 1.82e+01 2.29e+00 7.32e+01 3.60e+00 1.47e+02
1.00e+00 folhelho2 1.83e+01 2.18e+00 7.40e+01 4.31e+00 1.49e+02
1.00e+00 folhelho2 1.83e+01 2.26e+00 8.91e+01 1.93e+00 1.41e+02
1.00e+00 folhelho2 1.84e+01 2.23e+00 7.21e+01 -1.11e+00 1.99e+02
1.00e+00 folhelho2 1.85e+01 2.19e+00 6.98e+01 2.09e+00 1.89e+02
1.00e+00 folhelho2 1.85e+01 2.24e+00 7.27e+01 9.10e-01 1.85e+02
1.00e+00 folhelho2 1.86e+01 2.30e+00 7.89e+01 3.86e+00 1.82e+02
1.00e+00 folhelho2 1.87e+01 2.25e+00 7.35e+01 6.05e+00 1.51e+02
1.00e+00 folhelho2 1.88e+01 2.17e+00 6.99e+01 2.50e+00 1.83e+02
1.00e+00 folhelho2 1.88e+01 2.48e+00 7.56e+01 3.20e+00 1.63e+02
1.00e+00 folhelho2 1.89e+01 2.20e+00 7.49e+01 3.09e+00 1.52e+02
1.00e+00 folhelho2 1.90e+01 2.32e+00 7.88e+01 4.28e+00 1.44e+02
1.00e+00 folhelho2 1.90e+01 2.21e+00 7.22e+01 3.73e+00 1.54e+02
1.00e+00 folhelho2 1.91e+01 2.29e+00 6.92e+01 3.88e+00 2.07e+02
1.00e+00 folhelho2 1.92e+01 2.39e+00 7.24e+01 7.87e+00 1.35e+02
1.00e+00 folhelho2 1.93e+01 2.31e+00 7.33e+01 3.45e+00 1.85e+02
1.00e+00 folhelho2 1.93e+01 2.34e+00 7.04e+01 6.65e+00 1.57e+02
1.00e+00 folhelho2 1.94e+01 2.01e+00 7.04e+01 2.07e+00 1.43e+02
1.00e+00 folhelho2 1.95e+01 2.15e+00 6.45e+01 4.21e+00 1.73e+02
1.00e+00 folhelho2 1.95e+01 2.42e+00 7.52e+01 5.63e-01 1.60e+02
1.00e+00 folhelho2 1.96e+01 2.08e+00 7.62e+01 -1.10e+00 1.58e+02
1.00e+00 folhelho2 1.97e+01 2.34e+00 7.16e+01 -4.94e-01 1.63e+02
1.00e+00 folhelho2 1.98e+01 2.19e+00 6.65e+01 4.51e+00 1.54e+02
1.00e+00 folhelho2 1.98e+01 2.31e+00 7.31e+01 1.38e+00 1.64e+02
1.00e+00 folhelho2 1.99e+01 2.17e+00 7.08e+01 6.76e+00 1.57e+02
1.00e+00 folhelho2 2.00e+01 2.16e+00 8.17e+01 4.26e+00 1.68e+02
1.00e+00 folhelho2 2.00e+01 2.39e+00 7.76e+01 1.28e+00 1.46e+02
1.00e+00 folhelho2 2.01e+01 2.09e+00 8.17e+01 8.69e-01 1.75e+02
1.00e+00 folhelho2 2.02e+01 2.07e+00 7.13e+01 3.37e+00 1.81e+02
1.00e+00 folhelho2 2.03e+01 2.22e+00 7.63e+01 2.47e+00 2.06e+02
1.00e+00 folhelho2 2.03e+01 2.49e+00 7.06e+01 6.93e+00 1.44e+02
1.00e+00 folhelho2 2.04e+01 2.30e+00 6.55e+01 7.02e-01 1.72e+02
1.00e+00 folhelho2 2.05e+01 2.32e+00 6.51e+01 3.07e+00 1.79e+02
1.00e+00 folhelho2 2.05e+01 2.17e+00 7.17e+01 1.64e+00 1.69e+02
1.00e+00 folhelho2 2.06e+01 2.34e+00 7.78e+01 1.24e+00 1.57e+02
1.00e+00 folhelho2 2.07e+01 2.33e+00 6.58e+01 2.93e+00 1.52e+02
1.00e+00 folhelho2 2.08e+01 2.35e+00 7.92e+01 2.03e+00 1.77e+02
1.00e+00 folhelho2 2.08e+01 2.08e+00 6.99e+01 2.09e+00 1.65e+02
1.00e+00 folhelho2 2.09e+01 2.13e+00 8.31e+01 7.64e+00 1.46e+02
1.00e+00 folhelho2 2.10e+01 2.16e+00 7.07e+01 5.32e+00 1.27e+02
1.00e+00 folhelho2 2.10e+01 2.17e+00 6.97e+01 -7.93e-01 1.58e+02
1.00e+00 folhelho2 2.11e+01 2.05e+00 6.84e+01 -5.96e-01 1.82e+02
1.00e+00 folhelho2 2.12e+01 2.35e+00 7.20e+01 1.07e+00 1.70e+02
1.00e+00 folhelho2 2.12e+01 2.11e+00 7.39e+01 2.82e+00 1.54e+02
1.00e+00 folhelho2 2.13e+01 2.28e+00 7.88e+01 1.05e+00 1.80e+02
1.00e+00 folhelho2 2.14e+01 2.26e+00 7.99e+01 -2.00e+00 1.78e+02
1.00e+00 folhelho2 2.15e+01 2.21e+00 8.20e+01 -1.76e+00 1.83e+02
1.00e+00 folhelho2 2.15e+01 2.26e+00 7.54e+01 5.72e+00 1.45e+02
1.00e+00 folhelho2 2.16e+01 2.21e+00 7.81e+01 4.41e+00 1.62e+02
1.00e+00 folhelho2 2.17e+01 2.28e+00 7.12e+01 1.52e+00 1.83e+02
1.00e+00 folhelho2 2.17e+01 2.31e+00 7.97e+01 9.76e-01 1.72e+02
1.00e+00 folhelho2 2.18e+01 2.32e+00 7.85e+01 1.81e+00 1.44e+02
1.00e+00 folhelho2 2.19e+01 2.35e+00 7.97e+01 4.63e+00 1.70e+02
1.00e+00 folhelho2 2.20e+01 2.18e+00 7.64e+01 2.67e+00 2.00e+02
1.00e+00 folhelho2 2.20e+01 2.16e+00 7.13e+01 5.09e+00 1.57e+02
1.00e+00 folhelho2 2.21e+01 2.37e+00 7.48e+01 -7.52e-01 1.62e+02
1.00e+00 folhelho2 2.22e+01 2.04e+00 8.14e+01 4.60e+00 1.69e+02
1.00e+00 folhelho2 2.22e+01 2.21e+00 5.92e+01 3.74e+00 1.40e+02
1.00e+00 folhelho2 2.23e+01 2.02e+00 7.81e+01 5.60e+00 1.71e+02
1.00e+00 folhelho2 2.24e+01 2.23e+00 7.32e+01 5.79e+00 1.59e+02
1.00e+00 folhelho2 2.25e+01 2.19e+00 6.74e+01 2.06e+00 1.40e+02
1.00e+00 folhelho2 2.25e+01 2.29e+00 7.82e+01 5.16e+00 1.78e+02
1.00e+00 folhelho2 2.26e+01 2.20e+00 7.16e+01 1.25e+00 1.82e+02
1.00e+00 folhelho2 2.27e+01 2.43e+00 6.63e+01 -2.86e+00 1.58e+02
1.00e+00 folhelho2 2.27e+01 2.27e+00 8.61e+01 3.61e+00 1.49e+02
1.00e+00 folhelho2 2.28e+01 2.32e+00 7.70e+01 2.66e+00 1.59e+02
1.00e+00 folhelho2 2.29e+01 2.27e+00 8.29e+01 6.42e+00 1.45e+02
1.00e+00 folhelho2 2.30e+01 2.09e+00 7.55e+01 3.25e+00 1.77e+02
1.00e+00 folhelho2 2.30e+01 2.30e+00 7.85e+01 9.31e+00 1.33e+02
1.00e+00 folhelho2 2.31e+01 2.25e+00 7.79e+01 6.93e-01 1.68e+02
1.00e+00 folhelho2 2.32e+01 2.35e+00 8.40e+01 3.20e-01 1.83e+02
1.00e+00 folhelho2 2.32e+01 1.94e+00 8.04e+01 1.97e+00 1.47e+02
1.00e+00 folhelho2 2.33e+01 2.21e+00 7.99e+01 2.25e+00 1.48e+02
1.00e+00 folhelho2 2.34e+01 2.26e+00 8.04e+01 -1.31e+00 1.78e+02
1.00e+00 folhelho2 2.35e+01 2.19e+00 6.15e+01 3.36e+00 1.96e+02
1.00e+00 folhelho2 2.35e+01 2.27e+00 6.99e+01 5.77e+00 1.45e+02
1.00e+00 folhelho2 2.36e+01 2.26e+00 7.83e+01 1.41e+00 1.65e+02
1.00e+00 folhelho2 2.37e+01 2.31e+00 7.21e+01 1.98e+00 1.66e+02
1.00e+00 folhelho2 2.37e+01 2.19e+00 6.75e+01 4.96e-01 1.47e+02
1.00e+00 folhelho2 2.38e+01 2.23e+00 8.32e+01 6.12e+00 1.75e+02
1.00e+00 folhelho2 2.39e+01 2.18e+00 6.47e+01 1.57e+00 1.53e+02
1.00e+00 folhelho2 2.40e+01 2.19e+00 8.10e+01 5.36e+00 1.97e+02
1.00e+00 folhelho2 2.40e+01 2.17e+00 6.76e+01 9.90e-01 1.79e+02
1.00e+00 folhelho2 2.41e+01 2.23e+00 7.02e+01 1.95e+00 1.49e+02
1.00e+00 folhelho2 2.42e+01 2.27e+00 7.69e+01 -2.44e-01 1.62e+02
1.00e+00 folhelho2 2.42e+01 2.24e+00 7.10e+01 4.65e+00 1.51e+02
